sequence number,the red ball,the red ball,the red ball,the red ball,the red ball,the red ball,the blue ball
,#1,#2,#3,#4,#5,#6,
2022150,1,7,11,12,22,28,5
2022149,2,22,26,29,32,33,14
2022148,2,15,16,17,21,31,14
2022147,2,3,7,13,20,30,10
2022146,6,7,13,18,26,31,6
2022145,3,21,25,30,31,33,11
2022144,7,20,22,23,31,32,5
2022143,7,8,13,29,30,33,3
2022142,1,3,13,16,21,27,3
2022141,5,12,13,17,20,27,14
2022140,8,9,18,19,20,27,15
2022139,6,7,9,16,17,19,14
2022138,2,14,19,21,25,28,11
2022137,8,21,23,27,28,33,1
2022136,8,10,14,15,18,22,8
2022135,9,11,13,24,28,32,6
2022134,1,5,14,17,24,31,14
2022133,5,8,16,17,21,25,12
2022132,1,3,18,26,32,33,4
2022131,3,5,10,13,19,29,6
2022130,2,8,15,17,26,28,12
2022129,10,12,14,22,24,27,7
2022128,3,12,18,24,27,29,1
2022127,3,4,9,10,29,33,13
2022126,1,13,15,17,26,33,13
2022125,2,3,7,12,20,31,16
2022124,5,10,13,18,24,26,1
2022123,10,13,16,20,21,25,5
2022122,6,8,17,19,24,28,5
2022121,12,17,22,27,30,31,2
2022120,2,15,19,26,27,29,2
2022119,2,5,15,18,26,27,4
2022118,2,6,7,11,14,33,8
2022117,4,13,17,18,28,29,6
2022116,8,14,26,27,30,33,1
2022115,6,7,18,20,27,29,9
2022114,1,5,15,19,26,29,13
2022113,13,14,20,24,27,29,2
2022112,3,5,8,17,25,31,1
2022111,2,10,11,13,28,31,1
2022110,9,13,15,18,20,28,15
2022109,4,11,13,19,22,33,11
2022108,1,7,13,17,18,31,15
2022107,3,9,11,15,19,28,16
2022106,17,20,22,23,24,31,1
2022105,6,12,13,15,21,23,15
2022104,1,8,19,25,26,31,1
2022103,6,9,12,14,20,28,10
2022102,9,10,12,18,29,32,14
2022101,4,16,18,19,27,28,4
2022100,2,6,7,15,20,21,15
2022099,1,11,23,24,26,32,15
2022098,2,3,4,6,21,33,5
2022097,4,5,10,13,30,31,14
2022096,3,16,17,19,25,33,7
2022095,4,13,14,18,20,28,8
2022094,6,11,13,16,19,31,2
2022093,21,22,24,28,29,32,14
2022092,7,10,16,20,21,27,11
2022091,8,18,20,22,24,28,10
2022090,1,4,25,27,29,30,7
2022089,2,7,15,29,31,33,15
2022088,3,9,15,17,20,22,6
